"","B01","B02","B03","B04","B08","B06","B07","B09","B10","D01","D02","D03","D04","D05","D06","D07","D08","D09"
"bin_m10.vmb169",0.791666666666667,0.7290625,0.116666666666667,0.761666666666667,0.574545454545455,0.651538461538462,0.256923076923077,0,0.0080952380952381,0,0.274615384615385,0.1665,0.01,0.300833333333333,0.117272727272727,0.196363636363636,0.00666666666666667,0.272727272727273
"bin_m10.vmb194",1,0.7253125,0.0333333333333333,0.499444444444444,0.604545454545454,0.961538461538462,0.659615384615385,0,0.0080952380952381,0.04,0.584615384615385,0.679,0.01,0.415555555555556,0.272727272727273,0.06,0.00666666666666667,0.181818181818182
"bin_m10.vmb32",0.631666666666667,0.284375,0.2,0.471666666666667,0.0909090909090909,0.203076923076923,0.214230769230769,0,0,0.154,0.144615384615385,0.025,0.01,0.191111111111111,0.181818181818182,0.272727272727273,0,0
"bin_m10.vmb68_sub",0.833333333333333,0.7171875,0.0333333333333333,0.518888888888889,0.604545454545454,0.648846153846154,0.581153846153846,0,0.0080952380952381,0,0.506923076923077,0.3625,0.03625,0.288888888888889,0.0909090909090909,0.06,0,0.181818181818182
"bin_m10.vmb93_sub",0.823333333333333,0.26125,0.0333333333333333,0.714444444444444,0.574545454545455,0.273461538461538,0.103076923076923,0,0.0238095238095238,0.2,0.279230769230769,0.3915,0.05625,0.115555555555556,0.015,0.477272727272727,0,0.181818181818182
"bin_m10.vmb94",0.841666666666667,0.375,0.0333333333333333,0.518888888888889,0.374545454545455,0.738461538461539,0.595384615384615,0,0.0080952380952381,0,0.487692307692308,0.1875,0.01,0.2875,0.136363636363636,0.0145454545454545,0,0.0909090909090909
"bin_m11.cct146_sub",0.57,0.5215625,0.2,0.667222222222222,0.574545454545455,0.624615384615385,0.351923076923077,0.188571428571429,0.0214285714285714,0.2,0.140769230769231,0.05,0,0.363055555555556,0.015,0.196363636363636,0.0138095238095238,0.454545454545455
"bin_m11.cct159",0.781666666666667,0.711875,0.233333333333333,0.761666666666667,0.604545454545454,0.703846153846154,0.632692307692308,0,0.0214285714285714,0,0.144615384615385,0.0625,0.01,0.403055555555556,0.295454545454545,0.613636363636364,0.00666666666666667,0
"bin_m11.cct57",0.921666666666667,0.701875,0.0666666666666667,0.518888888888889,0.604545454545454,0.876923076923077,0.544615384615385,0,0.0080952380952381,0,0,0.0625,0.01,0.329166666666667,0.272727272727273,0.0145454545454545,0,0.0909090909090909
"bin_m11.cct89_sub",0.695,0.595625,0.0666666666666667,0.471666666666667,0.309090909090909,0.532307692307692,0.373846153846154,0,0.0080952380952381,0,0.487692307692308,0.179,0,0.0975,0.105909090909091,0.25,0.0338095238095238,0.363636363636364
"bin_m11.cct96",0.75,0.7071875,0.15,0.761666666666667,0.454545454545455,0.662307692307692,0.151923076923077,0,0.0080952380952381,0,0.434615384615385,0.2205,0.05625,0.208611111111111,0.117272727272727,0.431818181818182,0.0271428571428571,0.272727272727273
"bin_m11.mtb101",0.833333333333333,0.5603125,0.116666666666667,0.761666666666667,0.574545454545455,0.641153846153846,0.425,0,0.0214285714285714,0.28,0.564615384615385,0.487,0.01,0.2475,0.105909090909091,0.394545454545455,0.040952380952381,0.363636363636364
"bin_m11.mtb107",0.528333333333333,0.20625,0.0333333333333333,0.518888888888889,0.489090909090909,0.738461538461539,0.616923076923077,0,0.0080952380952381,0.064,0.600769230769231,0.0875,0.01,0.288888888888889,0.227272727272727,0.0372727272727273,0,0.181818181818182
"bin_m11.mtb133",0.958333333333333,0.57875,0.116666666666667,0.499444444444444,0.454545454545455,0.856923076923077,0.598846153846154,0,0.0080952380952381,0,0.375384615384615,0.1875,0.01,0.232777777777778,0.196818181818182,0.0145454545454545,0,0
"bin_m11.mtb193",0.815,0.6571875,0.0333333333333333,0.518888888888889,0.604545454545454,0.661538461538462,0.658076923076923,0,0.0080952380952381,0.064,0.516923076923077,0.3625,0.01,0.288888888888889,0.0454545454545455,0.400909090909091,0,0.181818181818182
"bin_m11.mtb203",0.75,0.7075,0.116666666666667,0.761666666666667,0.574545454545455,0.700769230769231,0.545384615384615,0,0.0080952380952381,0.08,0.346923076923077,0.2665,0.01,0.256388888888889,0.135909090909091,0.241818181818182,0.0204761904761905,0.272727272727273
"bin_m11.mtb208",1,0.590625,0.0333333333333333,0.518888888888889,0.604545454545454,0.738461538461539,0.605384615384615,0,0.0080952380952381,0.064,0.303076923076923,0.354,0.01,0.358333333333333,0.0909090909090909,0.0827272727272727,0,0.0909090909090909
"bin_m11.mtb241_sub",0.761666666666667,0.746875,0.233333333333333,0.424444444444444,0.55,0.727692307692308,0.306538461538462,0.188571428571429,0.0080952380952381,0,0.427692307692308,0.4085,0.01,0.234444444444444,0.0909090909090909,0.196363636363636,0.0338095238095238,0.181818181818182
"bin_m11.mtb243",0.615,0.30625,0.0333333333333333,0.518888888888889,0.489090909090909,0.515,0.405769230769231,0,0.0080952380952381,0.064,0.52,0.075,0.01,0.316666666666667,0.136363636363636,0.0372727272727273,0,0.181818181818182
"bin_m11.mtb249",0.74,0.61,0.116666666666667,0.518888888888889,0.429090909090909,0.690769230769231,0.0673076923076923,0,0.0080952380952381,0,0.0284615384615385,0.0125,0.01,0.231388888888889,0.015,0.378181818181818,0.0271428571428571,0.363636363636364
"bin_m11.mtb265",0.813333333333333,0.7075,0.116666666666667,0.761666666666667,0.574545454545455,0.806153846153846,0.282307692307692,0,0.0080952380952381,0.28,0.616923076923077,0.471,0.01,0.265833333333333,0.135909090909091,0.378181818181818,0.00666666666666667,0.363636363636364
"bin_m11.mtb58",0.823333333333333,0.505,0.0333333333333333,0.471666666666667,0.465454545454545,0.609230769230769,0.117307692307692,0,0,0.2,0.412307692307692,0.4,0.05625,0.139166666666667,0.015,0.477272727272727,0.00666666666666667,0.181818181818182
"bin_m11.mtb59",0.823333333333333,0.585625,0.0333333333333333,0.518888888888889,0.574545454545455,0.690769230769231,0.143461538461538,0,0,0,0.409230769230769,0.15,0.05625,0.143333333333333,0.0604545454545455,0.613636363636364,0,0.181818181818182
"bin_m11.mtb76",0.823333333333333,0.705,0.116666666666667,0.908333333333333,0.574545454545455,0.767692307692308,0.402307692307692,0,0.0319047619047619,0.28,0.512307692307692,0.738,0.05625,0.293611111111111,0.147272727272727,0.212727272727273,0.0138095238095238,0.272727272727273
"bin_m11.mxb20",0.823333333333333,0.4946875,0.0333333333333333,0.761666666666667,0.574545454545455,0.273461538461538,0.141538461538462,0,0,0,0.410769230769231,0.3625,0.01,0.175833333333333,0.0604545454545455,0.196363636363636,0,0.272727272727273
"bin_m11.mxb53",0.74,0.5596875,0.0333333333333333,0.761666666666667,0.52,0.690769230769231,0.133076923076923,0,0,0.2,0.39,0.229,0.01,0.148055555555556,0.015,0.394545454545455,0,0
"bin_m11.mxb6",0.981666666666667,0.979375,0.6,0.930555555555556,0.804545454545455,1,0.932307692307692,0,0.0557142857142857,0.546,0.62,0.896,0.01,0.709166666666667,0.684090909090909,0.818181818181818,0.285714285714286,0.272727272727273
"bin_m11.vmb104",0.833333333333333,0.7396875,0.233333333333333,0.761666666666667,0.55,0.751538461538461,0.358846153846154,0,0.0080952380952381,0.2,0.516153846153846,0.3495,0.05625,0.468888888888889,0.199090909090909,0.378181818181818,0.0133333333333333,0.363636363636364
"bin_m11.vmb173",0.773333333333333,0.6690625,0.1,0.714444444444444,0.309090909090909,0.727692307692308,0.150384615384615,0,0.0080952380952381,0,0.452307692307692,0.204,0.04625,0.125277777777778,0.0909090909090909,0.431818181818182,0.00666666666666667,0.0909090909090909
"bin_m11.vmb184",0.87,0.5190625,0.0333333333333333,0.209444444444444,0.393636363636364,0.565,0.466153846153846,0,0.0080952380952381,0.064,0.526923076923077,0.45,0.01,0.148055555555556,0.136363636363636,0.204545454545455,0.00666666666666667,0
"bin_m11.vmb199",0.781666666666667,0.7225,0.233333333333333,0.761666666666667,0.604545454545454,0.698461538461538,0.335769230769231,0,0.0080952380952381,0,0.448461538461538,0.4415,0.01,0.333611111111111,0.0604545454545455,0.477272727272727,0.0133333333333333,0.363636363636364
"bin_m11.vmb25",0.743333333333333,0.1725,0,0.714444444444444,0.513636363636364,0.233461538461538,0.0715384615384615,0,0,0,0.369230769230769,0.1915,0.01,0.115555555555556,0.0604545454545455,0.477272727272727,0,0.181818181818182
"bin_m11.vmb32",0.823333333333333,0.3171875,0.0333333333333333,0.714444444444444,0.574545454545455,0.229615384615385,0.109230769230769,0,0,0,0.247692307692308,0.0625,0.05625,0.115555555555556,0.105909090909091,0.477272727272727,0,0.181818181818182
"bin_m11.vmb45",0.803333333333333,0.7421875,0.15,0.610555555555556,0.37,0.671538461538462,0.445384615384615,0,0.0080952380952381,0.2,0.441538461538462,0.367,0.05625,0.246666666666667,0.172727272727273,0.378181818181818,0.00666666666666667,0.181818181818182
"bin_m11.vmb74",0.521666666666667,0.7753125,0.15,0.714444444444444,0.909090909090909,0.551153846153846,0.492692307692308,0,0.0080952380952381,0.196,0.546923076923077,0.379,0.05625,0.270833333333333,0.162272727272727,0.659090909090909,0.040952380952381,0.363636363636364
"bin_m11.vmb84",0.98,0.73125,0.0333333333333333,0.761666666666667,0.604545454545454,0.738461538461539,0.649230769230769,0,0.0080952380952381,0.064,0.638461538461538,0.3625,0.01,0.386111111111111,0.136363636363636,0.0372727272727273,0,0.181818181818182
"bin_m12.cct139",0,0,0,0.424444444444444,0.0545454545454545,0.106153846153846,0,0,0,0,0.0253846153846154,0,0,0,0,0.0145454545454545,0,0
"bin_m12.cct83_sub",0.5,0.2503125,0.15,0.424444444444444,0.454545454545455,0.165,0.0903846153846154,0,0,0,0.0253846153846154,0.0125,0.01,0.0833333333333333,0,0.0145454545454545,0,0.0909090909090909
"bin_m12.mtb121",0.833333333333333,0.3015625,0.0333333333333333,0.518888888888889,0.52,0.571923076923077,0.680769230769231,0,0.0080952380952381,0.064,0.483846153846154,0.479,0.01,0.246666666666667,0.136363636363636,0.0827272727272727,0,0.0909090909090909
"bin_m12.mtb122",0.676666666666667,0.0765625,0,0.714444444444444,0,0.338846153846154,0.114615384615385,0,0,0,0.293076923076923,0.212,0.01,0.025,0.0909090909090909,0.25,0.00666666666666667,0.363636363636364
"bin_m12.mtb124",0.961666666666667,0.3446875,0.0333333333333333,0.518888888888889,0.52,0.465,0.609230769230769,0,0.0080952380952381,0,0.474615384615385,0.204,0.0575,0.315277777777778,0.136363636363636,0.0145454545454545,0,0.181818181818182
"bin_m12.mtb152",1,0.694375,0.0333333333333333,0.518888888888889,0.604545454545454,0.571923076923077,0.620769230769231,0,0.0080952380952381,0.064,0.483076923076923,0.3165,0.01,0.259722222222222,0.196818181818182,0.0827272727272727,0.00666666666666667,0.181818181818182
"bin_m12.mtb29",0.646666666666667,0.4778125,0.233333333333333,0.223333333333333,0.454545454545455,0.233461538461538,0.366923076923077,0,0.0080952380952381,0,0.144615384615385,0.108,0.1225,0.264166666666667,0.136363636363636,0.25,0.0271428571428571,0.0909090909090909
"bin_m12.mtb81",0.971666666666667,0.3846875,0.0333333333333333,0.714444444444444,0.0909090909090909,0.736153846153846,0.336923076923077,0,0,0,0.377692307692308,0.3375,0.01,0.193333333333333,0.102272727272727,0.522727272727273,0.0538095238095238,0.363636363636364
"bin_m12.vmb111",0.333333333333333,0.09875,0.0333333333333333,0.622777777777778,0.06,0.159230769230769,0.0723076923076923,0,0,0.144,0.133846153846154,0.05,0.01,0.0655555555555556,0.181818181818182,0.25,0.00666666666666667,0.0909090909090909
"bin_m12.vmb143",0.833333333333333,0.7159375,0.116666666666667,0.518888888888889,0.574545454545455,0.608461538461538,0.583846153846154,0,0.0319047619047619,0,0.501538461538461,0.2165,0.01,0.238055555555556,0.135909090909091,0.378181818181818,0.040952380952381,0.272727272727273
"bin_m12.vmb162",0.375,0.1075,0,0.667222222222222,0.459090909090909,0.0384615384615385,0.0926923076923077,0,0,0,0.300769230769231,0,0.05625,0.0972222222222222,0.0454545454545455,0.196363636363636,0,0.181818181818182
"bin_m12.vmb38",0.805,0.4390625,0.0333333333333333,0.471666666666667,0.465454545454545,0.641538461538462,0.120384615384615,0,0,0.2,0.280769230769231,0.0375,0.01,0.115555555555556,0,0.431818181818182,0,0.181818181818182
"bin_m12.vmb59",0.291666666666667,0.204375,0.116666666666667,0.471666666666667,0.09,0.179230769230769,0.0846153846153846,0,0,0.04,0.0476923076923077,0.0625,0.01,0.132777777777778,0.181818181818182,0.25,0,0.181818181818182
"bin_m13.cct136_sub",0.823333333333333,0.599375,0.0333333333333333,0.761666666666667,0.574545454545455,0.718461538461538,0.0688461538461538,0,0,0,0.47,0.4165,0.05625,0.166944444444444,0.015,0.477272727272727,0.0338095238095238,0
"bin_m13.mtb110",0.791666666666667,0.6815625,0.116666666666667,0.471666666666667,0.574545454545455,0.558846153846154,0.370384615384615,0,0.0080952380952381,0.28,0.539230769230769,0.4415,0.01,0.283055555555556,0.135909090909091,0.378181818181818,0.0404761904761905,0.454545454545455
"bin_m13.mtb113_sub",0.25,0.0309375,0,0.714444444444444,0,0.179230769230769,0.0307692307692308,0,0,0,0.108461538461538,0,0.01,0.0183333333333333,0,0.25,0,0.181818181818182
"bin_m13.mtb118_sub",0.72,0.3459375,0.116666666666667,0.499444444444444,0.37,0.738461538461539,0.325384615384615,0,0.0080952380952381,0,0.556923076923077,0.5,0.01,0.163333333333333,0.272727272727273,0.06,0,0.181818181818182
"bin_m13.mtb145",0.795,0.313125,0.116666666666667,0.443888888888889,0.424545454545455,0.571923076923077,0.471538461538462,0,0.0080952380952381,0,0.615384615384615,0.325,0.05625,0.189722222222222,0.227272727272727,0.196363636363636,0,0
"bin_m13.mtb182",0.958333333333333,0.71875,0.0333333333333333,0.518888888888889,0.604545454545454,0.648846153846154,0.623076923076923,0,0.0080952380952381,0.064,0.514615384615385,0.479,0.01,0.386111111111111,0.196818181818182,0.0827272727272727,0,0.0909090909090909
"bin_m13.mtb194",0.676666666666667,0.2490625,0.0333333333333333,0.714444444444444,0.260909090909091,0.338846153846154,0.106538461538462,0,0,0.09,0.346153846153846,0.512,0.1325,0.0297222222222222,0.0909090909090909,0.431818181818182,0.0538095238095238,0.363636363636364
"bin_m13.mtb55",0.761666666666667,0.2659375,0.116666666666667,0.499444444444444,0.37,0.738461538461539,0.630769230769231,0,0.0080952380952381,0.064,0.0330769230769231,0.0625,0.01,0.316111111111111,0.0909090909090909,0.0372727272727273,0.00666666666666667,0.0909090909090909
"bin_m13.mtb75",0.5,0.1534375,0.116666666666667,0.622777777777778,0.09,0.159230769230769,0.0846153846153846,0,0,0.04,0.133846153846154,0.0625,0.01,0.142222222222222,0.181818181818182,0.25,0,0.0909090909090909
"bin_m13.mtb94",0.823333333333333,0.2653125,0.116666666666667,0.499444444444444,0.424545454545455,0.661538461538462,0.340769230769231,0,0.0080952380952381,0,0.47,0.2125,0.01,0.191111111111111,0.181818181818182,0.0145454545454545,0.0133333333333333,0.0909090909090909
"bin_m13.mtb95",0.833333333333333,0.718125,0.0333333333333333,0.761666666666667,0.574545454545455,0.767692307692308,0.330769230769231,0,0.0319047619047619,0.28,0.516153846153846,0.5005,0.05625,0.214722222222222,0.226818181818182,0.394545454545455,0.0138095238095238,0.454545454545455
"bin_m13.mtb98",0.458333333333333,0.1228125,0.0333333333333333,0.153888888888889,0.0909090909090909,0.135384615384615,0.158846153846154,0,0,0,0.0223076923076923,0,0.01,0,0.0909090909090909,0,0,0
"bin_m13.mxb31",0.25,0.0684375,0,0.518888888888889,0,0.165,0.0523076923076923,0,0,0,0,0.0125,0,0.157222222222222,0,0.25,0,0
"bin_m13.mxb55_sub",0.823333333333333,0.3228125,0.0333333333333333,0.714444444444444,0.574545454545455,0.233461538461538,0.156153846153846,0,0,0,0.314615384615385,0.129,0.01,0.115555555555556,0.015,0.477272727272727,0,0.181818181818182
"bin_m13.mxb57",0.963333333333333,0.816875,0.15,0.265,0.909090909090909,0.903076923076923,0.419615384615385,0,0.0080952380952381,0.304,0.250769230769231,0.1125,0.01,0.237222222222222,0.284090909090909,0.386363636363636,0.00952380952380952,0.0909090909090909
"bin_m13.mxb60_sub",0.833333333333333,0.78125,0.15,0.518888888888889,0.604545454545454,0.694615384615385,0.515,0,0.0080952380952381,0.08,0.613846153846154,0.3165,0.01,0.238055555555556,0.045,0.241818181818182,0.040952380952381,0.454545454545455
"bin_m13.mxb7",0.573333333333333,0.2271875,0.0833333333333333,0.714444444444444,0.513636363636364,0.233461538461538,0.105384615384615,0,0,0,0.280769230769231,0.4165,0.01,0.282222222222222,0.015,0.477272727272727,0,0.272727272727273
"bin_m13.vmb103",0.98,0.31875,0.116666666666667,0.406666666666667,0.574545454545455,0.573846153846154,0.616923076923077,0,0.0080952380952381,0,0.622307692307692,0.325,0.01,0.441666666666667,0.136363636363636,0.06,0,0.0909090909090909
"bin_m13.vmb111",0.375,0.2371875,0.15,0.471666666666667,0.454545454545455,0,0.140384615384615,0,0.0080952380952381,0,0.0223076923076923,0.0125,0,0.101666666666667,0,0.25,0,0.363636363636364
"bin_m13.vmb114",0.813333333333333,0.693125,0.116666666666667,0.761666666666667,0.651818181818182,0.675384615384615,0.335,0,0.0319047619047619,0.4,0.473076923076923,0.354,0.05625,0.287222222222222,0.208181818181818,0.659090909090909,0.0133333333333333,0.363636363636364
"bin_m13.vmb131",0.803333333333333,0.335,0.0333333333333333,0.667222222222222,0.574545454545455,0.241538461538462,0.140769230769231,0,0,0,0.286153846153846,0.1665,0.01,0.0694444444444444,0.105909090909091,0.196363636363636,0,0.272727272727273
"bin_m13.vmb150",0.771666666666667,0.6575,0.15,0.908333333333333,0.404545454545455,0.676153846153846,0.440384615384615,0,0.0080952380952381,0,0.47,0.354,0.05625,0.319722222222222,0.136363636363636,0.394545454545455,0.0880952380952381,0.454545454545455
"bin_m13.vmb30",0.778333333333333,0.6859375,0.0666666666666667,0.908333333333333,0.65,0.842307692307692,0.598076923076923,0,0.0080952380952381,0.104,0.24,0.7085,0.01,0.367777777777778,0.465909090909091,0.400909090909091,0.00666666666666667,0.181818181818182
