Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5	Completeness	Contamination	Strain heterogeneity
m10.cct29	o__Clostridiales (UID1212)	172	263	149	89	170	4	0	0	0	61.97	1.59	0
m10.cct42_sub	p__Bacteroidetes (UID2605)	350	316	210	19	287	10	0	0	0	92.86	3.36	0
m10.cct53_sub	c__Clostridia (UID1118)	387	223	124	21	199	2	1	0	0	89.96	1.06	60
m10.cct54_sub	k__Bacteria (UID2495)	2993	147	91	10	137	0	0	0	0	91.21	0	0
m10.cct68	o__Clostridiales (UID1212)	172	263	149	3	258	2	0	0	0	97.99	0.69	0
m10.cct73	f__Lachnospiraceae (UID1255)	90	354	174	8	339	7	0	0	0	96.44	2.69	0
m10.cct75_sub	o__Bacteroidales (UID2617)	213	406	265	36	243	116	11	0	0	92.89	40.38	11.41
m10.cct77_sub	p__Bacteroidetes (UID2605)	350	314	208	1	222	61	28	2	0	99.52	49.86	14.65
m10.cct7_sub	k__Bacteria (UID2495)	2993	147	91	13	132	2	0	0	0	85.71	1.16	50
m10.cct80_sub	k__Bacteria (UID203)	5449	104	58	5	79	20	0	0	0	91.38	15.05	45
m10.cct86_sub	c__Clostridia (UID1118)	387	223	124	19	169	27	8	0	0	88.91	21.1	1.96
m10.cct96	o__Bacteroidales (UID2617)	213	406	265	29	375	2	0	0	0	96.25	0.75	0
m10.mtb103_sub	p__Bacteroidetes (UID2605)	350	314	208	1	309	4	0	0	0	99.52	1.07	50
m10.mtb104	o__Rickettsiales (UID3809)	83	324	211	101	214	8	1	0	0	61.61	4.03	45.45
m10.mtb109	o__Bacteroidales (UID2617)	213	406	265	8	393	5	0	0	0	97.55	1.13	0
m10.mtb12	o__Bacteroidales (UID2617)	213	406	265	36	360	10	0	0	0	91.78	3.02	10
m10.mtb120	o__Lactobacillales (UID355)	490	336	184	2	331	3	0	0	0	98.91	1.09	0
m10.mtb128_sub	o__Clostridiales (UID1212)	172	263	149	82	180	0	1	0	0	62.52	1.34	0
m10.mtb129	k__Bacteria (UID2329)	174	149	89	5	140	4	0	0	0	94.38	3.37	0
m10.mtb135	o__Bacteroidales (UID2617)	213	406	265	2	397	7	0	0	0	99.43	2.03	28.57
m10.mtb14	o__Bacteroidales (UID2617)	213	406	265	68	327	11	0	0	0	87.48	3.11	9.09
m10.mtb140	c__Clostridia (UID1118)	387	223	124	36	185	2	0	0	0	83.81	1.61	100
m10.mtb144_sub	o__Clostridiales (UID1226)	155	278	158	22	250	6	0	0	0	95.4	3.8	16.67
m10.mtb154_sub	f__Lachnospiraceae (UID1255)	90	354	174	49	293	12	0	0	0	82.61	4.14	16.67
m10.mtb156	p__Bacteroidetes (UID2605)	350	314	208	39	266	9	0	0	0	83.89	0.68	66.67
m10.mtb158	o__Clostridiales (UID1212)	172	263	149	16	246	0	0	0	1	90.83	0.15	75
m10.mtb159	f__Lachnospiraceae (UID1255)	90	354	174	15	318	21	0	0	0	97.13	6.78	14.29
m10.mtb172_sub	o__Clostridiales (UID1375)	50	332	124	154	173	5	0	0	0	43.68	2.82	0
m10.mtb176	o__Bacteroidales (UID2617)	213	406	265	25	373	8	0	0	0	97.4	1.57	25
m10.mtb180	o__Clostridiales (UID1120)	304	250	143	8	241	1	0	0	0	95.8	0.23	0
m10.mtb185	o__Bacteroidales (UID2621)	198	427	260	2	409	16	0	0	0	99.42	2.37	12.5
m10.mtb18_sub	c__Clostridia (UID1118)	387	223	124	18	203	2	0	0	0	90.66	0.43	0
m10.mtb190	o__Bacteroidales (UID2617)	213	406	265	6	383	17	0	0	0	98.68	3.85	5.88
m10.mtb192_sub	c__Clostridia (UID1118)	387	223	124	168	55	0	0	0	0	8.06	0	0
m10.mtb196	o__Clostridiales (UID1212)	172	263	149	105	153	5	0	0	0	58.91	2.03	0
m10.mtb197	k__Bacteria (UID2329)	174	149	89	10	136	3	0	0	0	90.79	2.81	0
m10.mtb200	o__Bacteroidales (UID2617)	213	406	265	35	368	3	0	0	0	94.15	0.75	0
m10.mtb203	c__Clostridia (UID1118)	387	223	124	42	181	0	0	0	0	75.81	0	0
m10.mtb204	o__Bacteroidales (UID2617)	213	406	265	17	389	0	0	0	0	94.91	0	0
m10.mtb205	f__Lachnospiraceae (UID1255)	90	354	174	10	340	4	0	0	0	95.69	1.25	0
m10.mtb209	f__Lachnospiraceae (UID1255)	90	354	174	8	340	6	0	0	0	95.96	2.59	0
m10.mtb20_sub	c__Clostridia (UID1118)	387	223	124	25	196	2	0	0	0	96.25	1.61	0
m10.mtb212	o__Clostridiales (UID1212)	172	263	149	15	244	4	0	0	0	93.79	1.9	0
m10.mtb215	o__Lactobacillales (UID374)	471	350	191	1	348	1	0	0	0	99.48	0.26	0
m10.mtb218	o__Lactobacillales (UID355)	490	336	184	14	308	14	0	0	0	94.98	4.84	92.86
m10.mtb224_sub	f__Lachnospiraceae (UID1255)	90	354	174	32	316	5	1	0	0	89.24	2.48	0
m10.mtb227_sub	o__Bacteroidales (UID2617)	213	406	265	87	305	14	0	0	0	80.35	3.41	7.14
m10.mtb231_sub	f__Lachnospiraceae (UID1255)	90	354	174	16	307	29	2	0	0	94.71	11.5	37.14
m10.mtb236	k__Bacteria (UID2495)	2993	147	91	10	136	1	0	0	0	91.11	0.18	0
m10.mtb237_sub	k__Bacteria (UID2565)	2921	152	93	3	149	0	0	0	0	98.75	0	0
m10.mtb23_sub	o__Lactobacillales (UID355)	490	334	183	93	234	7	0	0	0	74.67	1.87	14.29
m10.mtb246	k__Bacteria (UID2329)	174	149	89	68	77	4	0	0	0	48.1	4.49	0
m10.mtb247	o__Bacteroidales (UID2617)	213	406	265	34	366	6	0	0	0	92.79	1.19	16.67
m10.mtb248	c__Clostridia (UID1118)	387	223	124	22	201	0	0	0	0	88.71	0	0
m10.mtb26	o__Bacteroidales (UID2617)	213	406	265	5	377	24	0	0	0	98.68	4.22	33.33
m10.mtb27	o__Bacteroidales (UID2617)	213	406	265	9	373	24	0	0	0	97.17	5.89	37.5
m10.mtb36	k__Bacteria (UID2569)	434	278	186	0	277	1	0	0	0	100	0.54	0
m10.mtb37	k__Bacteria (UID2569)	434	278	186	3	273	2	0	0	0	98.39	1.08	0
m10.mtb43	o__Bacteroidales (UID2617)	213	406	265	16	380	10	0	0	0	96.04	2.46	0
m10.mtb53	k__Bacteria (UID2372)	131	177	106	2	172	3	0	0	0	98.11	0.4	0
m10.mtb58	o__Clostridiales (UID1212)	172	263	149	23	232	8	0	0	0	90.63	2.01	50
m10.mtb60_sub	c__Clostridia (UID1118)	387	223	124	17	205	0	1	0	0	90.32	0.05	0
m10.mtb66	c__Clostridia (UID1118)	387	223	124	12	210	1	0	0	0	91.53	0.03	0
m10.mtb67	o__Bacteroidales (UID2617)	213	406	265	7	393	6	0	0	0	97.92	1.16	16.67
m10.mtb70	k__Bacteria (UID2328)	3167	126	75	2	122	2	0	0	0	97.33	1.44	0
m10.mtb71	o__Clostridiales (UID1212)	172	263	149	10	252	1	0	0	0	94.85	0.22	0
m10.mtb72	o__Clostridiales (UID1226)	155	278	158	5	249	24	0	0	0	98.1	4.9	0
m10.mtb73	o__Bacteroidales (UID2617)	213	406	265	36	369	1	0	0	0	94.28	0.38	0
m10.mtb76	o__Clostridiales (UID1212)	172	263	149	67	176	17	3	0	0	77.34	8.19	26.92
m10.mtb84_sub	o__Clostridiales (UID1212)	172	263	149	34	221	8	0	0	0	94.13	4.7	25
m10.mtb85_sub	f__Lachnospiraceae (UID1255)	90	354	174	57	284	13	0	0	0	82.74	1.91	61.54
m10.mtb86	o__Bacteroidales (UID2617)	213	406	265	16	378	12	0	0	0	94.91	2.74	33.33
m10.mtb92	o__Campylobacterales (UID3068)	106	477	284	16	459	2	0	0	0	96.41	0.53	0
m10.mtb95	k__Bacteria (UID3187)	2258	186	116	15	168	3	0	0	0	87.93	2.59	0
m10.mtb98_sub	k__Bacteria (UID1453)	901	171	117	60	108	3	0	0	0	63.59	1.42	0
m10.mxb125_sub	o__Bacteroidales (UID2617)	213	406	265	84	267	52	2	1	0	74.21	12.8	26.56
m10.mxb17	o__Clostridiales (UID1212)	172	263	149	10	252	1	0	0	0	94.85	0.22	0
m10.mxb20	f__Lachnospiraceae (UID1255)	90	354	174	57	293	4	0	0	0	81.94	1.53	50
m10.mxb200_sub	k__Bacteria (UID1453)	901	171	117	81	88	2	0	0	0	44.26	0.57	0
m10.mxb208_sub	o__Clostridiales (UID1212)	172	263	149	120	131	12	0	0	0	51.86	3.78	25
m10.mxb37_sub	o__Bacteroidales (UID2617)	213	406	265	12	340	54	0	0	0	96.96	16.03	9.26
m10.mxb39	k__Bacteria (UID2495)	2993	147	91	11	136	0	0	0	0	87.91	0	0
m10.mxb42	k__Bacteria (UID2569)	434	278	186	4	269	5	0	0	0	97.85	2.15	0
m10.mxb49	o__Bacteroidales (UID2617)	213	406	265	75	310	20	1	0	0	77.55	4.47	34.78
m10.mxb51	c__Clostridia (UID1118)	387	223	124	11	208	2	2	0	0	94.35	2.42	0
m10.mxb52	p__Bacteroidetes (UID2605)	350	314	208	8	301	4	1	0	0	96.15	0.72	14.29
m10.mxb53	o__Bacteroidales (UID2617)	213	406	265	27	376	3	0	0	0	91.7	0.75	0
m10.mxb56_sub	f__Enterobacteriaceae (UID5124)	134	1173	336	58	1097	18	0	0	0	95.59	1.47	77.78
m10.mxb57_sub	o__Clostridiales (UID1212)	172	263	149	15	247	1	0	0	0	92.28	0.02	0
m10.mxb58	o__Bacteroidales (UID2617)	213	406	265	39	355	12	0	0	0	89.31	3.58	0
m10.mxb59_sub	o__Bacteroidales (UID2617)	213	406	265	38	363	5	0	0	0	90.25	1.32	0
m10.mxb65_sub	o__Clostridiales (UID1212)	172	261	148	4	254	3	0	0	0	97.97	2.03	0
m10.mxb69	c__Clostridia (UID1118)	387	223	124	17	204	2	0	0	0	90.83	1.61	0
m10.mxb78_sub	f__Lachnospiraceae (UID1255)	90	354	174	26	312	16	0	0	0	93.49	7.09	6.25
m10.mxb87_sub	c__Clostridia (UID1118)	387	223	124	38	183	2	0	0	0	84.27	1.61	50
m10.mxb89_sub	o__Bacteroidales (UID2617)	213	406	265	342	63	1	0	0	0	6.27	0.38	0
m10.mxb9	c__Clostridia (UID1118)	387	223	124	12	203	8	0	0	0	92.74	3.72	0
m10.vmb0_sub	c__Clostridia (UID1118)	387	223	124	49	162	11	1	0	0	73.39	7.71	21.43
m10.vmb1	f__Lachnospiraceae (UID1256)	33	333	171	39	291	3	0	0	0	85.96	1.07	0
m10.vmb10	p__Bacteroidetes (UID2605)	350	314	208	54	259	1	0	0	0	78.85	0.48	0
m10.vmb100	o__Bacteroidales (UID2617)	213	406	265	24	379	3	0	0	0	93.21	0.63	33.33
m10.vmb106	o__Bacteroidales (UID2657)	160	492	269	23	469	0	0	0	0	94.8	0	0
m10.vmb11	k__Bacteria (UID2982)	88	230	148	37	192	1	0	0	0	78.21	0.68	0
m10.vmb116	k__Bacteria (UID2566)	525	208	136	35	171	2	0	0	0	83.67	1.47	50
m10.vmb117	c__Clostridia (UID1118)	387	223	124	16	206	1	0	0	0	89.78	0.4	0
m10.vmb12	f__Lachnospiraceae (UID1255)	90	354	174	12	335	7	0	0	0	94.81	2.31	0
m10.vmb122	o__Clostridiales (UID1212)	172	263	149	46	215	2	0	0	0	80.57	0.89	0
m10.vmb131	f__Lachnospiraceae (UID1255)	90	354	174	71	278	3	1	1	0	88.52	2.3	8.33
m10.vmb138_sub	o__Bacteroidales (UID2617)	213	406	265	78	322	6	0	0	0	86.3	1.51	33.33
m10.vmb141	p__Proteobacteria (UID3887)	1487	256	160	1	254	1	0	0	0	99.38	0.62	0
m10.vmb142	o__Bacteroidales (UID2617)	213	406	265	20	365	21	0	0	0	97.26	2.41	33.33
m10.vmb146	c__Clostridia (UID1118)	387	223	124	23	200	0	0	0	0	90.49	0	0
m10.vmb149	p__Bacteroidetes (UID2605)	350	316	210	16	298	2	0	0	0	93.1	0.95	0
m10.vmb15	o__Bacteroidales (UID2617)	213	406	265	30	373	3	0	0	0	91.13	0.69	33.33
m10.vmb163_sub	c__Clostridia (UID1118)	387	223	124	36	184	3	0	0	0	78.71	0.91	33.33
m10.vmb169	o__Clostridiales (UID1226)	155	278	158	12	265	1	0	0	0	95.55	0.63	0
m10.vmb181	k__Bacteria (UID2565)	2921	152	93	9	141	2	0	0	0	91.4	1.17	50
m10.vmb187_sub	f__Lachnospiraceae (UID1256)	33	333	171	38	286	9	0	0	0	88.13	3.56	22.22
m10.vmb189	k__Bacteria (UID1453)	901	171	117	54	112	4	1	0	0	67.23	3.21	42.86
m10.vmb19	g__Lactobacillus (UID380)	58	449	129	2	447	0	0	0	0	98.45	0	0
m10.vmb194	g__Bacteroides (UID2691)	33	839	309	12	824	3	0	0	0	98.36	0.38	0
m10.vmb195	o__Clostridiales (UID1212)	172	263	149	60	202	1	0	0	0	72.21	0.67	0
m10.vmb3	f__Lachnospiraceae (UID1255)	90	354	174	26	324	4	0	0	0	95.6	1.84	0
m10.vmb30	f__Lachnospiraceae (UID1255)	90	354	174	16	329	9	0	0	0	93.63	2.16	11.11
m10.vmb32	k__Bacteria (UID2495)	2993	143	89	4	138	1	0	0	0	95.51	1.12	0
m10.vmb38	k__Bacteria (UID1453)	901	171	117	61	108	2	0	0	0	59.69	0.93	50
m10.vmb43	c__Clostridia (UID1085)	35	420	196	62	353	5	0	0	0	80.14	1.23	20
m10.vmb49_sub	c__Clostridia (UID1118)	387	223	124	18	200	5	0	0	0	90.32	2.52	40
m10.vmb5	c__Clostridia (UID1118)	387	223	124	8	200	15	0	0	0	95.97	8.43	6.67
m10.vmb55	o__Clostridiales (UID1120)	304	250	143	21	228	1	0	0	0	91.24	0.7	0
m10.vmb62	k__Bacteria (UID1453)	901	171	117	64	106	1	0	0	0	54.25	0.85	0
m10.vmb68_sub	o__Bacteroidales (UID2716)	92	487	270	4	481	2	0	0	0	98.52	0.49	0
m10.vmb93_sub	c__Clostridia (UID1118)	387	223	124	33	188	1	1	0	0	87.1	0.86	0
m10.vmb94	o__Bacteroidales (UID2617)	213	406	265	37	355	14	0	0	0	88.3	4.15	0
m10.vmb96	o__Clostridiales (UID1212)	172	263	149	47	205	11	0	0	0	82.37	4.94	0
m11.cct105_sub	o__Clostridiales (UID1212)	172	263	149	118	144	1	0	0	0	51.69	0.67	100
m11.cct11	f__Lachnospiraceae (UID1286)	57	420	207	190	224	6	0	0	0	58.31	1.34	16.67
m11.cct112_sub	o__Clostridiales (UID1212)	172	263	149	137	125	1	0	0	0	35.66	0.06	0
m11.cct119	k__Bacteria (UID2495)	2993	147	91	12	135	0	0	0	0	86.81	0	0
m11.cct144_sub	f__Lachnospiraceae (UID1286)	57	420	207	154	259	7	0	0	0	64.16	2.48	14.29
m11.cct146_sub	o__Clostridiales (UID1120)	304	247	141	58	180	9	0	0	0	72.99	3.51	33.33
m11.cct159	c__Deltaproteobacteria (UID3218)	61	284	169	15	256	11	2	0	0	92.21	4.82	23.53
m11.cct22_sub	o__Bacteroidales (UID2617)	213	406	265	40	319	47	0	0	0	91.22	9.96	25.53
m11.cct29_sub	c__Clostridia (UID1118)	387	223	124	28	191	4	0	0	0	92.79	0.71	50
m11.cct31_sub	c__Clostridia (UID1118)	387	223	124	7	190	25	1	0	0	96.75	17.74	3.57
m11.cct32_sub	o__Clostridiales (UID1226)	155	278	158	34	239	5	0	0	0	88.86	2.66	20
m11.cct38_sub	o__Bacteroidales (UID2617)	213	406	265	2	367	37	0	0	0	99.43	9.58	2.7
m11.cct49	o__Clostridiales (UID1212)	172	263	149	13	240	10	0	0	0	95.24	2.99	10
m11.cct57	o__Campylobacterales (UID3068)	106	475	283	4	471	0	0	0	0	99.53	0	0
m11.cct67_sub	k__Bacteria (UID2495)	2993	147	91	54	93	0	0	0	0	54.06	0	0
m11.cct71_sub	k__Bacteria (UID2495)	2993	143	89	39	88	16	0	0	0	64.98	7.2	50
m11.cct89_sub	o__Clostridiales (UID1212)	172	263	149	56	196	11	0	0	0	76.52	3.5	0
m11.cct94_sub	f__Enterobacteriaceae (UID5162)	88	1207	328	24	995	172	16	0	0	98.72	21.39	90
m11.cct96	o__Clostridiales (UID1212)	172	263	149	11	251	1	0	0	0	94.61	0.22	0
m11.mtb100	f__Lachnospiraceae (UID1255)	90	354	174	42	307	5	0	0	0	86.87	2.3	40
m11.mtb101	f__Lachnospiraceae (UID1255)	90	354	174	20	329	5	0	0	0	94.27	2.2	0
m11.mtb106	o__Bacteroidales (UID2716)	92	487	270	12	472	3	0	0	0	97.41	0.74	33.33
m11.mtb107	o__Bacteroidales (UID2617)	213	406	265	31	371	4	0	0	0	91.7	0.72	0
m11.mtb113	f__Lachnospiraceae (UID1255)	90	354	174	11	322	21	0	0	0	97.06	4.67	76.19
m11.mtb118	o__Bacteroidales (UID2617)	213	406	265	7	385	14	0	0	0	97.55	3.21	7.14
m11.mtb119_sub	f__Lachnospiraceae (UID1255)	90	354	174	8	337	9	0	0	0	98.75	1.92	0
m11.mtb12	o__Bacteroidales (UID2617)	213	406	265	89	282	35	0	0	0	83.48	7.92	57.14
m11.mtb122	f__Lachnospiraceae (UID1255)	90	354	174	44	301	9	0	0	0	90.01	2.85	22.22
m11.mtb127_sub	o__Clostridiales (UID1226)	155	278	158	37	236	5	0	0	0	91.44	2.53	20
m11.mtb133	p__Bacteroidetes (UID2605)	350	315	209	1	314	0	0	0	0	99.52	0	0
m11.mtb139_sub	o__Clostridiales (UID1212)	172	263	149	124	138	1	0	0	0	44.42	0.67	0
m11.mtb142	o__Bacteroidales (UID2617)	213	406	265	11	390	5	0	0	0	97.04	1.45	0
m11.mtb143	o__Bacteroidales (UID2617)	213	406	265	8	398	0	0	0	0	97.55	0	0
m11.mtb146	c__Clostridia (UID1118)	387	223	124	15	207	1	0	0	0	90.86	0.27	0
m11.mtb151_sub	k__Bacteria (UID1453)	901	171	117	61	105	5	0	0	0	72.58	3.02	20
m11.mtb153	o__Clostridiales (UID1226)	155	278	158	29	242	7	0	0	0	89.31	3.13	0
m11.mtb154	o__Bacteroidales (UID2617)	213	406	265	62	313	31	0	0	0	89.25	9.06	32.26
m11.mtb155	f__Lachnospiraceae (UID1255)	90	354	174	25	297	29	3	0	0	90.66	10	28.95
m11.mtb157	c__Clostridia (UID1118)	387	223	124	22	197	3	1	0	0	91.52	0.66	33.33
m11.mtb164	o__Bacteroidales (UID2617)	213	406	265	25	372	9	0	0	0	96.76	2.89	44.44
m11.mtb173	o__Clostridiales (UID1212)	172	263	149	24	238	1	0	0	0	88.14	0.22	0
m11.mtb17_sub	c__Clostridia (UID1118)	387	223	124	48	171	4	0	0	0	78.54	1.96	0
m11.mtb182	c__Clostridia (UID1118)	387	223	124	90	130	3	0	0	0	58.87	0.86	0
m11.mtb183	o__Clostridiales (UID1212)	172	263	149	31	228	4	0	0	0	85.11	2.24	0
m11.mtb186_sub	c__Deltaproteobacteria (UID3218)	61	284	169	139	145	0	0	0	0	47.05	0	0
m11.mtb191	k__Bacteria (UID203)	5449	103	57	10	70	22	1	0	0	85.96	12.2	24
m11.mtb193	o__Bacteroidales (UID2617)	213	406	265	21	385	0	0	0	0	93.77	0	0
m11.mtb198	c__Clostridia (UID1118)	387	223	124	12	208	3	0	0	0	93.15	1.24	66.67
m11.mtb199	f__Lachnospiraceae (UID1286)	57	420	207	28	386	6	0	0	0	93.25	2.21	0
m11.mtb2	p__Bacteroidetes (UID2605)	350	314	208	6	300	8	0	0	0	97.6	0.64	37.5
m11.mtb20	f__Lachnospiraceae (UID1286)	57	420	207	65	336	19	0	0	0	87.45	7.45	36.84
m11.mtb201	c__Clostridia (UID1118)	387	223	124	8	215	0	0	0	0	94.35	0	0
m11.mtb202	o__Clostridiales (UID1226)	155	278	158	9	261	8	0	0	0	96.2	3.05	25
m11.mtb203	f__Lachnospiraceae (UID1255)	90	354	174	37	311	6	0	0	0	90.23	2.29	0
m11.mtb206	c__Clostridia (UID1118)	387	223	124	18	194	11	0	0	0	90.73	5.27	0
m11.mtb208	o__Bacteroidales (UID2617)	213	406	265	4	385	17	0	0	0	99.06	4.91	88.24
m11.mtb21	k__Bacteria (UID2328)	3167	126	75	2	122	2	0	0	0	97.33	1.44	0
m11.mtb213	o__Clostridiales (UID1212)	172	263	149	14	240	9	0	0	0	92.17	2.93	11.11
m11.mtb218_sub	o__Clostridiales (UID1212)	172	263	149	37	217	9	0	0	0	87.46	4.59	11.11
